Board number,Board name,Course code,Course Description,Grade,Pathway or destination
B67091,Simcoe Muskoka CDSB,ENG2L,English,Grade 10,Locally Developed Compulsory Course
B67091,Simcoe Muskoka CDSB,MAT1L,Mathematics,Grade 9,Locally Developed Compulsory Course
B67091,Simcoe Muskoka CDSB,MAT2L,Mathematics,Grade 10,Locally Developed Compulsory Course
B67091,Simcoe Muskoka CDSB,SNC1L,Science,Grade 9,Locally Developed Compulsory Course
B67091,Simcoe Muskoka CDSB,SNC2L,Science,Grade 10,Locally Developed Compulsory Course
B67040,St Clair CDSB,CHC2L,Canadian History,Grade 10,Locally Developed Compulsory Course
B67040,St Clair CDSB,ENG1L,English,Grade 9,Locally Developed Compulsory Course
B67040,St Clair CDSB,ENG2L,English,Grade 10,Locally Developed Compulsory Course
B67040,St Clair CDSB,MAT1L,Mathematics,Grade 9,Locally Developed Compulsory Course
B67040,St Clair CDSB,MAT2L,Mathematics,Grade 10,Locally Developed Compulsory Course
B67040,St Clair CDSB,SNC1L,Science,Grade 9,Locally Developed Compulsory Course
B67040,St Clair CDSB,SNC2L,Science,Grade 10,Locally Developed Compulsory Course
B29033,Sudbury CDSB,CHC2L,Canadian History,Grade 10,Locally Developed Compulsory Course
B29033,Sudbury CDSB,ENG1L,English,Grade 9,Locally Developed Compulsory Course
B29033,Sudbury CDSB,ENG2L,English,Grade 10,Locally Developed Compulsory Course
B29033,Sudbury CDSB,MAT1L,Mathematics,Grade 9,Locally Developed Compulsory Course
B29033,Sudbury CDSB,MAT2L,Mathematics,Grade 10,Locally Developed Compulsory Course
B29033,Sudbury CDSB,SNC1L,Science,Grade 9,Locally Developed Compulsory Course
B29033,Sudbury CDSB,SNC2L,Science,Grade 10,Locally Developed Compulsory Course
B28070,Superior-Greenstone DSB,CHC2L,Canadian History,Grade 10,Locally Developed Compulsory Course
B28070,Superior-Greenstone DSB,ENG1L,English,Grade 9,Locally Developed Compulsory Course
B28070,Superior-Greenstone DSB,ENG2L,English,Grade 10,Locally Developed Compulsory Course
B28070,Superior-Greenstone DSB,FSF14,French,Grade 9,"Compulsory English, Francais, Math or Science (Grade 9 & 10"
B28070,Superior-Greenstone DSB,MAT1L,Mathematics,Grade 9,Locally Developed Compulsory Course
B28070,Superior-Greenstone DSB,MAT2L,Mathematics,Grade 10,Locally Developed Compulsory Course
B28070,Superior-Greenstone DSB,SNC1L,Science,Grade 9,Locally Developed Compulsory Course
B28070,Superior-Greenstone DSB,SNC2L,Science,Grade 10,Locally Developed Compulsory Course
B66044,Thames Valley DSB,CHC2L,Canadian History,Grade 10,Locally Developed Compulsory Course
B66044,Thames Valley DSB,ENG1L,English,Grade 9,Locally Developed Compulsory Course
B66044,Thames Valley DSB,ENG2L,English,Grade 10,Locally Developed Compulsory Course
B66044,Thames Valley DSB,FSF14,French,Grade 9,"Compulsory English, Francais, Math or Science (Grade 9 & 10"
B66044,Thames Valley DSB,MAT1L,Mathematics,Grade 9,Locally Developed Compulsory Course
B66044,Thames Valley DSB,MAT2L,Mathematics,Grade 10,Locally Developed Compulsory Course
B66044,Thames Valley DSB,SNC1L,Science,Grade 9,Locally Developed Compulsory Course
B66044,Thames Valley DSB,SNC2L,Science,Grade 10,Locally Developed Compulsory Course
B29068,Thunder Bay CDSB,CHC2L,Canadian History,Grade 10,Locally Developed Compulsory Course
B29068,Thunder Bay CDSB,ENG1L,English,Grade 9,Locally Developed Compulsory Course
B29068,Thunder Bay CDSB,ENG2L,English,Grade 10,Locally Developed Compulsory Course
B29068,Thunder Bay CDSB,FSF14,French,Grade 9,"Compulsory English, Francais, Math or Science (Grade 9 & 10"
B29068,Thunder Bay CDSB,MAT1L,Mathematics,Grade 9,Locally Developed Compulsory Course
B29068,Thunder Bay CDSB,MAT2L,Mathematics,Grade 10,Locally Developed Compulsory Course
B29068,Thunder Bay CDSB,NDE23,Aboriginal Transitions,Grade 10,Open (Grade 9 & 10 level LDC)
B29068,Thunder Bay CDSB,SNC1L,Science,Grade 9,Locally Developed Compulsory Course
B29068,Thunder Bay CDSB,SNC2L,Science,Grade 10,Locally Developed Compulsory Course
B67059,Toronto CDSB,CHC2L,Canadian History,Grade 10,Locally Developed Compulsory Course
B67059,Toronto CDSB,ENG1L,English,Grade 9,Locally Developed Compulsory Course
B67059,Toronto CDSB,ENG2L,English,Grade 10,Locally Developed Compulsory Course
B67059,Toronto CDSB,LDVB1,Tigrigna,Level 2,Academic (Grade 9 & 10 level LDC)
B67059,Toronto CDSB,LDVC3,Tigrigna,Level 3,Open (Grade 9 & 10 level LDC)
B67059,Toronto CDSB,MAT1L,Mathematics,Grade 9,Locally Developed Compulsory Course
B67059,Toronto CDSB,MAT2L,Mathematics,Grade 10,Locally Developed Compulsory Course
B67059,Toronto CDSB,SNC1L,Science,Grade 9,Locally Developed Compulsory Course
B67059,Toronto CDSB,SNC2L,Science,Grade 10,Locally Developed Compulsory Course
B66052,Toronto DSB,CAS33,History of Africa and Peoples of African Descent,Grade 11,Open (Grade 9 & 10 level LDC)
B66052,Toronto DSB,CHC2L,Canadian History,Grade 10,Locally Developed Compulsory Course
B66052,Toronto DSB,CHG38,Genocide and Crimes Against Humanity,Grade 11,University/College Preparation (Grade 11 & 12 level LDC)
B66052,Toronto DSB,EAE2L,English,Grade 10,Locally Developed Compulsory Course
B66052,Toronto DSB,ENG1L,English,Grade 9,Locally Developed Compulsory Course
B66052,Toronto DSB,ENG23,English,Grade 10,Open (Grade 9 & 10 level LDC)
B66052,Toronto DSB,ENG2L,English,Grade 10,Locally Developed Compulsory Course
B66052,Toronto DSB,MAT1L,Mathematics,Grade 9,Locally Developed Compulsory Course
B66052,Toronto DSB,MAT23,Mathematics,Grade 10,Open (Grade 9 & 10 level LDC)
B66052,Toronto DSB,MAT2L,Mathematics,Grade 10,Locally Developed Compulsory Course
B66052,Toronto DSB,PES33,Coaching: The Art of Coaching,Grade 11,Open (Grade 9 & 10 level LDC)
B66052,Toronto DSB,SNC1L,Science,Grade 9,Locally Developed Compulsory Course
B66052,Toronto DSB,SNC23,SCIENCE,Grade 10,Open (Grade 9 & 10 level LDC)
B66052,Toronto DSB,SNC2L,Science,Grade 10,Locally Developed Compulsory Course
B66052,Toronto DSB,THL35,Landscape Technologies,Grade 11,Workplace Preparation (Grade 11 & 12 level LDC)
B66052,Toronto DSB,THL45,Landscape Technologies Workplace,Grade 12,Workplace Preparation (Grade 11 & 12 level LDC)
B66087,Trillium Lakelands DSB,CHC2L,Canadian History,Grade 10,Locally Developed Compulsory Course
B66087,Trillium Lakelands DSB,ENG1L,English,Grade 9,Locally Developed Compulsory Course
B66087,Trillium Lakelands DSB,ENG2L,English,Grade 10,Locally Developed Compulsory Course
B66087,Trillium Lakelands DSB,MAT1L,Mathematics,Grade 9,Locally Developed Compulsory Course
B66087,Trillium Lakelands DSB,MAT2L,Mathematics,Grade 10,Locally Developed Compulsory Course
B66087,Trillium Lakelands DSB,SNC1L,Science,Grade 9,Locally Developed Compulsory Course
B66087,Trillium Lakelands DSB,SNC2L,Science,Grade 10,Locally Developed Compulsory Course
B66192,Upper Canada DSB,CHC2L,Canadian History,Grade 10,Locally Developed Compulsory Course
B66192,Upper Canada DSB,ENG1L,English,Grade 9,Locally Developed Compulsory Course
B66192,Upper Canada DSB,ENG2L,English,Grade 10,Locally Developed Compulsory Course
B66192,Upper Canada DSB,MAT1L,Mathematics,Grade 9,Locally Developed Compulsory Course
B66192,Upper Canada DSB,MAT2L,Mathematics,Grade 10,Locally Developed Compulsory Course
B66192,Upper Canada DSB,SNC1L,Science,Grade 9,Locally Developed Compulsory Course
B66192,Upper Canada DSB,SNC2L,Science,Grade 10,Locally Developed Compulsory Course
B66117,Upper Grand DSB,CHC2L,Canadian History,Grade 10,Locally Developed Compulsory Course
B66117,Upper Grand DSB,EAE2L,English,Grade 10,Locally Developed Compulsory Course
B66117,Upper Grand DSB,ENG1L,English,Grade 9,Locally Developed Compulsory Course
B66117,Upper Grand DSB,ENG2L,English,Grade 10,Locally Developed Compulsory Course
B66117,Upper Grand DSB,FSF14,French,Grade 9,"Compulsory English, Francais, Math or Science (Grade 9 & 10"
B66117,Upper Grand DSB,MAT1L,Mathematics,Grade 9,Locally Developed Compulsory Course
B66117,Upper Grand DSB,MAT2L,Mathematics,Grade 10,Locally Developed Compulsory Course
B66117,Upper Grand DSB,SNC1L,Science,Grade 9,Locally Developed Compulsory Course
B66117,Upper Grand DSB,SNC2L,Science,Grade 10,Locally Developed Compulsory Course
B67148,Waterloo CDSB,CHC2L,Canadian History,Grade 10,Locally Developed Compulsory Course
B67148,Waterloo CDSB,ENG1L,English,Grade 9,Locally Developed Compulsory Course
B67148,Waterloo CDSB,ENG2L,English,Grade 10,Locally Developed Compulsory Course
B67148,Waterloo CDSB,FSF14,French,Grade 9,"Compulsory English, Francais, Math or Science (Grade 9 & 10"
B67148,Waterloo CDSB,MAT1L,Mathematics,Grade 9,Locally Developed Compulsory Course
B67148,Waterloo CDSB,MAT2L,Mathematics,Grade 10,Locally Developed Compulsory Course
B67148,Waterloo CDSB,SNC1L,Science,Grade 9,Locally Developed Compulsory Course
B67148,Waterloo CDSB,SNC2L,Science,Grade 10,Locally Developed Compulsory Course
B66176,Waterloo Region DSB,CGL23,Sustainable Living,Grade 10,Open (Grade 9 & 10 level LDC)
B66176,Waterloo Region DSB,CHC2L,Canadian History,Grade 10,Locally Developed Compulsory Course
B66176,Waterloo Region DSB,CHG33,Crimes Against Humanity: Historical and Contemporary Implications,Grade 11,Open (Grade 9 & 10 level LDC)
B66176,Waterloo Region DSB,ENG1L,English,Grade 9,Locally Developed Compulsory Course
B66176,Waterloo Region DSB,ENG2L,English,Grade 10,Locally Developed Compulsory Course
B66176,Waterloo Region DSB,FSF14,French,Grade 9,"Compulsory English, Francais, Math or Science (Grade 9 & 10"
B66176,Waterloo Region DSB,MAT1L,Mathematics,Grade 9,Locally Developed Compulsory Course
B66176,Waterloo Region DSB,MAT2L,Mathematics,Grade 10,Locally Developed Compulsory Course
B66176,Waterloo Region DSB,SNC1L,Science,Grade 9,Locally Developed Compulsory Course
B66176,Waterloo Region DSB,SNC2L,Science,Grade 10,Locally Developed Compulsory Course
B67130,Wellington CDSB,CHC2L,Canadian History,Grade 10,Locally Developed Compulsory Course
B67130,Wellington CDSB,ENG1L,English,Grade 9,Locally Developed Compulsory Course
B67130,Wellington CDSB,ENG2L,English,Grade 10,Locally Developed Compulsory Course
B67130,Wellington CDSB,MAT1L,Mathematics,Grade 9,Locally Developed Compulsory Course
B67130,Wellington CDSB,MAT2L,Mathematics,Grade 10,Locally Developed Compulsory Course
B67130,Wellington CDSB,SNC1L,Science,Grade 9,Locally Developed Compulsory Course
B67130,Wellington CDSB,SNC2L,Science,Grade 10,Locally Developed Compulsory Course
B67024,Windsor-Essex CDSB,CAS3O,History of Africa and Peoples of African Descent,Grade 11,Open (Grade 9 - 12 level)
B67024,Windsor-Essex CDSB,CHC2L,Canadian History,Grade 10,Locally Developed Compulsory Course
B67024,Windsor-Essex CDSB,ENG1L,English,Grade 9,Locally Developed Compulsory Course
B67024,Windsor-Essex CDSB,ENG2L,English,Grade 10,Locally Developed Compulsory Course
B67024,Windsor-Essex CDSB,MAT1L,Mathematics,Grade 9,Locally Developed Compulsory Course
B67024,Windsor-Essex CDSB,MAT2L,Mathematics,Grade 10,Locally Developed Compulsory Course
B67024,Windsor-Essex CDSB,SNC1L,Science,Grade 9,Locally Developed Compulsory Course
B67024,Windsor-Essex CDSB,SNC2L,Science,Grade 10,Locally Developed Compulsory Course
B67075,York CDSB,CHC2L,Canadian History,Grade 10,Locally Developed Compulsory Course
B67075,York CDSB,ENG1L,English,Grade 9,Locally Developed Compulsory Course
B67075,York CDSB,ENG2L,English,Grade 10,Locally Developed Compulsory Course
B67075,York CDSB,FSF14,French,Grade 9,"Compulsory English, Francais, Math or Science (Grade 9 & 10"
B67075,York CDSB,MAT1L,Mathematics,Grade 9,Locally Developed Compulsory Course
B67075,York CDSB,MAT2L,Mathematics,Grade 10,Locally Developed Compulsory Course
B67075,York CDSB,SNC1L,Science,Grade 9,Locally Developed Compulsory Course
B67075,York CDSB,SNC2L,Science,Grade 10,Locally Developed Compulsory Course
B66095,York Region DSB,CHC2L,Canadian History,Grade 10,Locally Developed Compulsory Course
B66095,York Region DSB,ENG1L,English,Grade 9,Locally Developed Compulsory Course
B66095,York Region DSB,ENG2L,English,Grade 10,Locally Developed Compulsory Course
B66095,York Region DSB,MAT1L,Mathematics,Grade 9,Locally Developed Compulsory Course
B66095,York Region DSB,MAT2L,Mathematics,Grade 10,Locally Developed Compulsory Course
B66095,York Region DSB,SNC1L,Science,Grade 9,Locally Developed Compulsory Course
B66095,York Region DSB,SNC2L,Science,Grade 10,Locally Developed Compulsory Course
