COLLEGE,MAJOR CIP,HEAD COUNT
Cambrian College,Dental Assisting/Assistant,15
Cambrian College,Dental Hygiene/Hygienist,75
Cambrian College,"Electrical, Electronic and Communications Engineering Technology/Technician",102
Cambrian College,Electrician,121
Cambrian College,Emergency Medical Technology/Technician (EMT Paramedic),88
Cambrian College,Energy Management and Systems Technology/Technician,29
Cambrian College,Family and Community Services,58
Cambrian College,Fire Science/Firefighting,16
Cambrian College,General Studies,99
Cambrian College,Graphic Design,80
Cambrian College,Health Aide,31
Cambrian College,"Health and Physical Education, General",117
Cambrian College,"Health/Medical Preparatory Programs, Other",236
Cambrian College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)",85
Cambrian College,Heavy Equipment Maintenance Technology/Technician,93
Cambrian College,Hotel/Motel Administration/Management,12
Cambrian College,"Human Resources Management/Personnel Administration, General",35
Cambrian College,Industrial Mechanics and Maintenance Technology,120
Cambrian College,Instructional program not reported,"1,062"
Cambrian College,"Journalism, General",15
Cambrian College,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl., AAS)",96
Cambrian College,Lineworker,43
Cambrian College,Medical Radiologic Technology/Science - Radiation Therapist,103
Cambrian College,Mining Technology/Technician,86
Cambrian College,"Music, General",69
Cambrian College,"Nursing/Registered Nurse (RN, ASN, BScN, MScN)",308
Cambrian College,Public Relations/Image Management,81
Cambrian College,"Social Work, General",137
Cambrian College,Stationary Energy Sources Installer and Operator,113
Cambrian College,Technical Theatre/Theatre Design and Technology,30
Cambrian College,Technology Education/Industrial Arts Programs,28
Cambrian College,Welding Technology/Welder,54
Cambrian College,Youth Services/Administration,109
Cambrian College,Total,"4,659"
Canadore College,Aboriginal Studies,18
Canadore College,Accounting,26
Canadore College,Accounting and Business/Management,19
Canadore College,"Administrative Assistant and Secretarial Science, General",55
Canadore College,Advertising,23
Canadore College,Airframe Mechanics and Aircraft Maintenance Technology/Technician,199
Canadore College,"Alternative and Complementary Medical Support Services, Other",55
Canadore College,Automobile/Automotive Mechanics Technology/Technician,15
Canadore College,Avionics Maintenance Technology/Technician,31
Canadore College,Biology Technician/Biotechnology Laboratory Technician,13
Canadore College,Biotechnology,19
Canadore College,"Business Administration and Management, General",23
Canadore College,"Business/Commerce, General",83
Canadore College,Carpentry/Carpenter,38
Canadore College,Child Care Provider/Assistant,96
Canadore College,Cinematography and Film/Video Production,35
Canadore College,Civil Engineering Technology/Technician,49
Canadore College,Computer Software Technology/Technician,23
Canadore College,Computer Systems Networking and Telecommunications,10
Canadore College,"Criminal Justice and Corrections, Other",76
Canadore College,Criminal Justice/Police Science,129
Canadore College,Culinary Arts/Chef Training,37
Canadore College,Dental Hygiene/Hygienist,41
Canadore College,"Drama and Dramatics/Theatre Arts, General",30
Canadore College,Electrician,48
Canadore College,General Studies,52
Canadore College,Graphic Design,68
Canadore College,Health Aide,11
Canadore College,"Health and Physical Education, General",59
Canadore College,"Health/Medical Preparatory Programs, Other",78
Canadore College,"Journalism, General",15
Canadore College,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl., AAS)",207
Canadore College,Machine Tool Technology/Machinist,15
Canadore College,Mental Health Counselling/Counsellor,120
Canadore College,"Natural Resources Conservation and Research, Other",62
Canadore College,"Natural Resources Management and Policy, General",14
Canadore College,Not Codeable,22
Canadore College,"Parks, Recreation and Leisure Studies",62
Canadore College,Plumbing Technology/Plumber,31
Canadore College,Public Relations/Image Management,20
Canadore College,Radio and Television,28
Canadore College,Radio and Television Broadcasting Technology/Technician,42
Canadore College,Resort Management,20
Canadore College,Respiratory Care Therapy/Therapist,72
Canadore College,"Restaurant, Culinary and Catering Management/Manager",73
Canadore College,"Social Work, General",156
Canadore College,Therapeutic Recreation/Recreational Therapy,71
Canadore College,Welding Technology/Welder,32
Canadore College,Total,"2,552"
Centennial College,Accounting and Business/Management,721
Centennial College,Accounting Technology/Technician and Bookkeeping,38
Centennial College,Advertising,141
Centennial College,Aesthetician/Esthetician and Skin Care Specialist,56
Centennial College,Airframe Mechanics and Aircraft Maintenance Technology/Technician,270
Centennial College,"Animation, Interactive Technology, Video Graphics and Special Effects",45
Centennial College,Architectural Technology/Technician,160
Centennial College,Autobody/Collision and Repair Technology/Technician,72
Centennial College,Automobile/Automotive Mechanics Technology/Technician,355
Centennial College,Avionics Maintenance Technology/Technician,79
Centennial College,Biology Technician/Biotechnology Laboratory Technician,439
Centennial College,Biomedical Technology/Technician,143
Centennial College,"Business Administration and Management, General",231
Centennial College,"Business, Management, Marketing and Related Support Services, Other",146
Centennial College,"Business/Commerce, General",174
Centennial College,Business/Corporate Communications,70
Centennial College,Child Care Provider/Assistant,485
Centennial College,Clinical/Medical Laboratory Technician,74
Centennial College,"Computer and Information Sciences and Support Services, Other",106
Centennial College,"Computer Engineering Technology/Technician, General",49
Centennial College,Computer Installation and Repair Technology/Technician,22
Centennial College,Computer Software Technology/Technician,181
Centennial College,Computer Systems Networking and Telecommunications,335
Centennial College,"Criminal Justice and Corrections, Other",212
Centennial College,Criminal Justice/Police Science,446
Centennial College,Digital Communication and Media/Multimedia,15
Centennial College,"Electrical, Electronic and Communications Engineering Technology/Technician",169
Centennial College,Emergency Medical Technology/Technician (EMT Paramedic),80
Centennial College,Energy Management and Systems Technology/Technician,35
Centennial College,English as a Second Language,86
Centennial College,Executive Assistant/Executive Secretary,44
Centennial College,Family and Community Services,60
Centennial College,"Fine/Studio Arts, General",51
Centennial College,Foodservice Systems Administration/Management,156
Centennial College,General Office Occupations and Clerical Services,29
Centennial College,General Studies,220
Centennial College,Graphic Design,69
Centennial College,Health Aide,83
Centennial College,"Health/Medical Preparatory Programs, Other",20
Centennial College,Heavy Equipment Maintenance Technology/Technician,63
Centennial College,"Hospitality Administration/Management, General",116
Centennial College,"Human Resources Management/Personnel Administration, General",246
Centennial College,International Business/Trade/Commerce,144
Centennial College,"Journalism, General",130
Centennial College,Legal Administrative Assistant/Secretary,39
Centennial College,"Legal Professions and Studies, Other",149
Centennial College,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl., AAS)",637
Centennial College,"Marketing/Marketing Management, General",255
Centennial College,Massage Therapy/Therapeutic Massage,77
Centennial College,Mechanical Engineering/Mechanical Technology/Technician,252
Centennial College,Medical Informatics,33
Centennial College,Medical Office Management/Administration,209
Centennial College,Medium/Heavy Vehicle and Truck Technology/Technician,64
Centennial College,Motorcycle Maintenance and Repair Technology/Technician,25
Centennial College,"Natural Resources Conservation and Research, Other",96
Centennial College,Not Codeable,"1,895"
Centennial College,"Nursing/Registered Nurse (RN, ASN, BScN, MScN)",484
Centennial College,Occupational Therapist Assistant,88
Centennial College,Operations Management and Supervision,139
Centennial College,"Parks, Recreation and Leisure Studies",74
Centennial College,Pharmacy Technician/Assistant,196
Centennial College,Public Health Education and Promotion,52
Centennial College,Publishing,51
Centennial College,Radio and Television Broadcasting Technology/Technician,201
Centennial College,Resort Management,364
Centennial College,Restaurant/Food Services Management,31
Centennial College,Robotics Technology/Technician,205
Centennial College,"Social Work, General",279
Centennial College,System Administration/Administrator,117
Centennial College,Tourism and Travel Services Management,26
Centennial College,"Visual and Performing Arts, Other",63
Centennial College,Youth Services/Administration,342
Centennial College,Total,"13,316"
La Cité collégiale,Not Codeable,"4,427"
La Cité collégiale,Total,"4,427"
Conestoga College,Accounting and Business/Management,349
Conestoga College,Advertising,67
Conestoga College,Airline/Commercial/Professional Pilot and Flight Crew,45
Conestoga College,Architectural Engineering Technology/Technician,121
Conestoga College,Audiology/Audiologist and Hearing Sciences,65
Conestoga College,Automobile/Automotive Mechanics Technology/Technician,24
Conestoga College,Biology Technician/Biotechnology Laboratory Technician,112
Conestoga College,Broadcast Journalism,51
Conestoga College,"Business Administration and Management, General",214
Conestoga College,"Business/Commerce, General",217
Conestoga College,Child Care Provider/Assistant,322
Conestoga College,Civil Engineering Technology/Technician,121
Conestoga College,"Computer Programming/Programmer, General",41
Conestoga College,Computer Software Technology/Technician,74
Conestoga College,Computer Systems Analysis/Analyst,88
Conestoga College,Construction Engineering Technology/Technician,187
Conestoga College,"Construction Trades, Other",100
Conestoga College,Criminal Justice/Police Science,405
Conestoga College,Culinary Arts/Chef Training,33
Conestoga College,Dietetic Technician (DTR),45
Conestoga College,"Electrical and Electronic Engineering Technologies/Technicians, Other",39
Conestoga College,"Electrical, Electronic and Communications Engineering Technology/Technician",175
Conestoga College,Electrician,54
Conestoga College,Emergency Medical Technology/Technician (EMT Paramedic),65
Conestoga College,Environmental Engineering Technology/Environmental Technology,39
Conestoga College,Financial Planning and Services,89
Conestoga College,Fire Science/Firefighting,89
Conestoga College,General Office Occupations and Clerical Services,39
Conestoga College,General Studies,91
Conestoga College,Graphic Design,93
Conestoga College,Health Aide,112
Conestoga College,"Hospitality Administration/Management, General",49
Conestoga College,"Human Resources Management/Personnel Administration, General",100
Conestoga College,"Human Services, General",88
Conestoga College,"Industrial Production Technologies/Technicians, Other",26
Conestoga College,Insurance,62
Conestoga College,International Business/Trade/Commerce,118
Conestoga College,"Journalism, General",59
Conestoga College,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl., AAS)",596
Conestoga College,Logistics and Materials Management,85
Conestoga College,"Marketing/Marketing Management, General",82
Conestoga College,Medical Office Management/Administration,121
Conestoga College,Not Codeable,"4,241"
Conestoga College,"Nursing/Registered Nurse (RN, ASN, BScN, MScN)",408
Conestoga College,Occupational Therapist Assistant,76
Conestoga College,"Parks, Recreation and Leisure Studies",135
Conestoga College,Radio and Television,128
Conestoga College,Respiratory Care Therapy/Therapist,98
Conestoga College,"Restaurant, Culinary and Catering Management/Manager",69
Conestoga College,Restaurant/Food Services Management,42
Conestoga College,Robotics Technology/Technician,114
Conestoga College,"Social Work, General",92
Conestoga College,Teaching English as a Second or Foreign Language/ESL Language Instructor,20
Conestoga College,Welding Technology/Welder,35
Conestoga College,"Woodworking, General",51
Conestoga College,Total,"10,461"
Confederation College,Accounting and Business/Management,123
Confederation College,"Administrative Assistant and Secretarial Science, General",70
Confederation College,Aeronautical/Aerospace Engineering Technology/Technician,32
Confederation College,Airframe Mechanics and Aircraft Maintenance Technology/Technician,60
Confederation College,Automobile/Automotive Mechanics Technology/Technician,11
Confederation College,Aviation/Airway Management and Operations,106
Confederation College,"Business, Management, Marketing and Related Support Services, Other",10
Confederation College,Child Care Provider/Assistant,136
Confederation College,Cinematography and Film/Video Production,67
Confederation College,Civil Engineering Technology/Technician,82
Confederation College,Criminal Justice/Police Science,90
Confederation College,Dental Assisting/Assistant,27
Confederation College,"Electrical, Electronic and Communications Engineering Technology/Technician",32
Confederation College,Emergency Medical Technology/Technician (EMT Paramedic),60
Confederation College,Family and Community Services,57
Confederation College,Fire Science/Firefighting,12
Confederation College,General Studies,167
Confederation College,Health Aide,58
Confederation College,"Health/Medical Preparatory Programs, Other",140
Confederation College,Heavy Equipment Maintenance Technology/Technician,21
Confederation College,"Human Development and Family Studies, General",48
Confederation College,"Human Resources Management/Personnel Administration, General",105
Confederation College,International Business/Trade/Commerce,10
Confederation College,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl., AAS)",171
Confederation College,"Marketing/Marketing Management, General",81
Confederation College,Mechanical Engineering/Mechanical Technology/Technician,12
Confederation College,Medical Radiologic Technology/Science - Radiation Therapist,40
Confederation College,"Natural Resources Management and Policy, Other",60
Confederation College,Not Codeable,690
Confederation College,Radio and Television,45
Confederation College,"Restaurant, Culinary and Catering Management/Manager",51
Confederation College,"Social Work, General",157
Confederation College,Stationary Energy Sources Installer and Operator,31
Confederation College,"Teaching Assistants/Aides, General",21
Confederation College,Technology Education/Industrial Arts Programs,53
Confederation College,Tourism and Travel Services Marketing Operations,15
Confederation College,"Web Page, Digital/Multimedia and Information Resources Design",106
Confederation College,Welding Technology/Welder,68
Confederation College,Youth Services/Administration,94
Confederation College,Total,"3,226"
Durham College,Not Codeable,"8,819"
Durham College,Total,"8,819"
Fanshawe College,Accounting and Business/Management,578
Fanshawe College,"Applied Horticulture/Horticulture Operations, General",74
Fanshawe College,Architectural Technology/Technician,326
