UNIVERSITY,COUNTRY OF CITIZENSHIP,HEAD COUNT
OCAD,Total,"3,571"
Ottawa,AFGHANISTAN,24
Ottawa,ALGERIA,61
Ottawa,AUSTRALIA,38
Ottawa,BANGLADESH,49
Ottawa,BELGIUM,23
Ottawa,BENIN,31
Ottawa,BRAZIL,62
Ottawa,BULGARIA,10
Ottawa,BURKINA FASO,23
Ottawa,BURUNDI,117
Ottawa,CAMEROON,115
Ottawa,CANADA,"29,789"
Ottawa,CHILE,14
Ottawa,CHINA,"1,071"
Ottawa,COLOMBIA,43
Ottawa,CONGO,23
Ottawa,"CONGO, DEMOCRATIC REPUBLIC OF THE",105
Ottawa,CÔTE D'IVOIRE,75
Ottawa,CUBA,11
Ottawa,DJIBOUTI,20
Ottawa,ECUADOR,10
Ottawa,EGYPT,95
Ottawa,ENGLAND,20
Ottawa,ETHIOPIA,25
Ottawa,FRANCE,263
Ottawa,GERMANY,41
Ottawa,GHANA,32
Ottawa,GUINEA,24
Ottawa,HAITI,183
Ottawa,HONG KONG,16
Ottawa,INDIA,181
Ottawa,IRAN,242
Ottawa,IRAQ,30
Ottawa,IRELAND REPUBLIC OF (EIRE),13
Ottawa,ISRAEL,14
Ottawa,ITALY,19
Ottawa,JAMAICA,16
Ottawa,JORDAN,47
Ottawa,KENYA,17
Ottawa,KOREA SOUTH,68
Ottawa,KUWAIT,11
Ottawa,LEBANON,91
Ottawa,LIBYA,21
Ottawa,MALAYSIA,23
Ottawa,MALI,15
Ottawa,MAURITIUS,17
Ottawa,MEXICO,38
Ottawa,MOROCCO,76
Ottawa,NETHERLANDS,24
Ottawa,NIGER,12
Ottawa,NIGERIA,240
Ottawa,NORWAY,20
Ottawa,PAKISTAN,109
Ottawa,PALESTINIAN TERRITORY OCCUPIED,17
Ottawa,PERU,14
Ottawa,PHILIPPINES,32
Ottawa,POLAND,16
Ottawa,ROMANIA,27
Ottawa,RUSSIAN FEDERATION,35
Ottawa,RWANDA,81
Ottawa,SAUDI ARABIA,259
Ottawa,SENEGAL,40
Ottawa,SINGAPORE,22
Ottawa,SOMALIA,24
Ottawa,SPAIN,21
Ottawa,SRI LANKA,28
Ottawa,SWEDEN,13
Ottawa,SWITZERLAND,14
Ottawa,Syria,31
Ottawa,TAIWAN,28
Ottawa,THAILAND,18
Ottawa,TOGO,13
Ottawa,TUNISIA,44
Ottawa,TURKEY,33
Ottawa,UKRAINE,23
Ottawa,UNITED KINGDOM,49
Ottawa,UNITED STATES,130
Ottawa,VENEZUELA,25
Ottawa,VIET NAM,38
Ottawa,ZIMBABWE,11
Ottawa,Total,"35,132"
"Queen""s",AUSTRALIA,36
"Queen""s",BANGLADESH,35
"Queen""s",BELGIUM,17
"Queen""s",BOTSWANA,21
"Queen""s",BRAZIL,19
"Queen""s",CANADA,"18,506"
"Queen""s",CHINA,502
"Queen""s",COLOMBIA,12
"Queen""s",DENMARK,11
"Queen""s",EGYPT,44
"Queen""s",FRANCE,60
"Queen""s",GERMANY,62
"Queen""s",GHANA,14
"Queen""s",HONG KONG,22
"Queen""s",INDIA,153
"Queen""s",IRAN,127
"Queen""s",IRELAND REPUBLIC OF (EIRE),10
"Queen""s",ITALY,15
"Queen""s",JAPAN,104
"Queen""s",JORDAN,27
"Queen""s",KOREA SOUTH,155
"Queen""s",LEBANON,10
"Queen""s",MALAYSIA,17
"Queen""s",MEXICO,32
"Queen""s",NETHERLANDS,26
"Queen""s",NIGERIA,40
"Queen""s",NORWAY,12
"Queen""s",PAKISTAN,77
"Queen""s",PHILIPPINES,14
"Queen""s",RUSSIA (OLD U.S.S.R.),22
"Queen""s",SAUDI ARABIA,87
"Queen""s",SINGAPORE,23
"Queen""s",SOUTH AFRICA,11
"Queen""s",SPAIN,11
"Queen""s",SWEDEN,22
"Queen""s",SWITZERLAND,10
"Queen""s",TAIWAN,41
"Queen""s",TURKEY,19
"Queen""s",UNITED KINGDOM,97
"Queen""s",UNITED STATES,273
"Queen""s",Total,"21,049"
Ryerson,AFGHANISTAN,27
Ryerson,ALBANIA,23
Ryerson,BANGLADESH,153
Ryerson,BARBADOS,10
Ryerson,BELARUS,11
Ryerson,BOTSWANA,12
Ryerson,BRAZIL,14
Ryerson,BULGARIA,10
Ryerson,CANADA,"19,635"
Ryerson,CHINA,267
Ryerson,COLOMBIA,35
Ryerson,EGYPT,65
Ryerson,ENGLAND,12
Ryerson,ETHIOPIA,17
Ryerson,GERMANY,19
Ryerson,GUYANA,28
Ryerson,HONG KONG,34
Ryerson,INDIA,389
Ryerson,INDONESIA,22
Ryerson,IRAN,349
Ryerson,IRAQ,62
Ryerson,ISRAEL,20
Ryerson,JAMAICA,47
Ryerson,JORDAN,27
Ryerson,KAZAKHSTAN,17
Ryerson,KENYA,14
Ryerson,KOREA SOUTH,121
Ryerson,LEBANON,23
Ryerson,MALAYSIA,10
Ryerson,MAURITIUS,13
Ryerson,MEXICO,16
Ryerson,NEPAL,29
Ryerson,NIGERIA,52
Ryerson,NOT REPORTED,18
Ryerson,PAKISTAN,182
Ryerson,PALESTINIAN TERRITORY OCCUPIED,10
Ryerson,PHILIPPINES,134
Ryerson,POLAND,12
Ryerson,ROMANIA,11
Ryerson,RUSSIAN FEDERATION,33
Ryerson,SAUDI ARABIA,57
Ryerson,SRI LANKA,92
Ryerson,Syria,19
Ryerson,TAIWAN,12
Ryerson,TRINIDAD AND TOBAGO,34
Ryerson,TURKEY,17
Ryerson,UKRAINE,33
Ryerson,UNITED ARAB EMIRATES,11
Ryerson,UNITED KINGDOM,27
Ryerson,UNITED STATES,79
Ryerson,VIET NAM,46
Ryerson,ZIMBABWE,16
Ryerson,Total,"22,728"
Toronto,AFGHANISTAN,47
Toronto,ALBANIA,49
Toronto,ARGENTINA,30
Toronto,ARMENIA,26
Toronto,AUSTRALIA,110
Toronto,AUSTRIA,23
Toronto,AZERBAIJAN,56
Toronto,BAHAMAS,11
Toronto,BAHRAIN,11
Toronto,BANGLADESH,354
Toronto,BARBADOS,22
Toronto,BELARUS,18
Toronto,BELGIUM,17
Toronto,BRAZIL,191
Toronto,BULGARIA,30
Toronto,CAMEROON,22
Toronto,CANADA,"52,914"
Toronto,CHILE,44
Toronto,CHINA,"7,300"
Toronto,COLOMBIA,137
Toronto,CUBA,15
Toronto,CZECH REPUBLIC,14
Toronto,ECUADOR,14
Toronto,EGYPT,278
Toronto,EL SALVADOR,10
Toronto,ENGLAND,40
Toronto,ETHIOPIA,30
Toronto,FINLAND,13
Toronto,FRANCE,95
Toronto,GERMANY,185
Toronto,GHANA,51
Toronto,GREECE,41
Toronto,GUYANA,45
Toronto,HAITI,13
Toronto,HONG KONG,406
Toronto,HUNGARY,12
Toronto,INDIA,"1,394"
Toronto,INDONESIA,92
